story_id,keyword_id,keyword
11024,292,Riese
17422,14337,"Viting, lit."
2648,810,Varia
6094,8,"Sage, historische"
1631,16,sacrilege
16587,180,The ample meal
5408,91,dead
13507,442,Stadt
6404,4,historical legends
10578,10584,ohne Kopf
549,560,Zwergensage
14135,63,Blocksberg
1715,1718,Säbenrand
14760,6642,Seele als Maus
10117,32,Hexe
12346,250,"Kette tragen, Ring"
11991,45,Lokalsage
10146,2416,"Entheiligung des Feiertages, Karfreitag"
7802,443,Towns
9069,4479,Wald
